method,task,sample_id,input_tokens,em,f1,answers,prediction
RoPE,passage_retrieval_en,25,8192,0,0.0,"[""Paragraph 30""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
RoPE,passage_retrieval_en,26,8192,0,0.058823529411764705,"[""Paragraph 1""]", 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
RoPE,passage_retrieval_en,27,8192,0,0.08695652173913042,"[""Paragraph 6""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
RoPE,passage_retrieval_en,28,8192,0,0.08695652173913042,"[""Paragraph 8""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
RoPE,passage_retrieval_en,29,8192,0,0.08695652173913042,"[""Paragraph 3""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
RoPE,qasper,0,3855,0,0.13793103448275865,"[""Ground truth is not established in the paper""]", 1 . The ground truth is the fact that the tweet was retweeted more than 1000 times . 2 . The ground truth is the fact that the tweet was retweeted more than 1000 times by a user with a verified account . 3 . The ground truth is the fact that the tweet was
RoPE,qasper,1,3187,0,0.10526315789473685,"[""extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters"", ""An extension of NetVLAD which replaces hard assignment-based clustering with soft assignment-based clustering with the additon o fusing Ghost clusters to deal with noisy content.""]", The GhostVLAD is a pooling strategy that was originally proposed for face recognition by Y. Zhong [10] . The GhostVLAD pooling strategy is used to aggregate the frame @-@ level features into a single utterance @-@ level feature . 3D feature map is unfolded to create N features of
RoPE,qasper,2,4217,0,0.13953488372093023,"[""the attention model, MDREA, also outperforms the best existing research results (WAP 0.690 to 0.688)""]", 68.8 % to 71.8 % when applied to the IEMOCAP dataset . 71.8 % to 72 @.@ 8 % when applied to the IEMOCAP + excitement dataset . 72 @.@ 8 % to 73 @.@ 8 % when applied to
RoPE,qasper,3,2833,0,0.0,"[""using tweets that one has replied or quoted to as contextual information"", ""text sequences of context tweets""]", 1) 2 @-@ way attention mechanism 2) 3 @-@ way attention mechanism 3) 4 @-@ way attention mechanism 4) 5 @-@ way attention mechanism 5) 6 @-@ way attention mechanism 6) 7 @-@ way
RoPE,qasper,4,4295,0,0.0,"[""FoxNews, CNN, ESPN, New York Times, Time magazine, Huffington Post Weird News, The Guardian, Cartoon Network, Cooking Light, Home Cooking Adventure, Justin Bieber, Nickelodeon, Spongebob, Disney"", ""FoxNews, CNN, ESPN, New York Times, Time magazine, Huffington Post Weird News, The Guardian, Cartoon Network, Cooking Light, Home Cooking Adventure, Justin Bieber, Nickelodeon, Spongebob, Disney.""]", 1 . 000 pages from 10 different domains ( 1 . 000 pages from 10 different domains ) 2 . 000 pages from 10 different domains ( 2 . 000 pages from 10 different domains ) 3 . 000 pages from 10 different domains ( 3 . 
RoPE,qasper,5,5229,1,0.04545454545454545,"[""Yes"", ""Yes""]"," Yes , the English language is used in both datasets . 1 @,@ 000 English tweets were used for training the model . 1 @,@ 000 English tweets were used for testing the model . 1 @,@ 000 English tweets were used for testing the model . 1 @,@ 000 English tweets"
RoPE,qasper,6,5491,0,0.0,"[""Answer with content missing: (Evaluation Metrics section) Precision, Recall, F1-scores, Strict match, METEOR, ROUGE-2""]"," The proposed task is a summarization task , in the sense that it requires the creation of a summary from a set of documents . 1 ) The corpus is used to create a gold @-@ standard corpus of summaries for the task . 2 ) The corpus is used to create a benchmark corpus for the task ."
RoPE,qasper,7,6354,0,0.125,"[""CNN/DailyMail news highlights, New York Times Annotated Corpus, XSum"", ""the CNN/DailyMail news highlights dataset BIBREF24, the New York Times Annotated Corpus (NYT; BIBREF25), XSum BIBREF22""]"," 1) CNN/DailyMail : 20 documents with 1 @,@ 000 sentences each 2) NYT : 20 documents with 1 @,@ 000 sentences each 3) XSum : 20 documents with 1 @,@ 000 sentences each 4) Lead : 20 documents with"
RoPE,qasper,8,3346,0,0.029850746268656716,"[""GM$\\_$KL achieves better correlation than existing approaches for various metrics on SCWS dataset.""]", 1. The proposed approach is based on the idea of using word embeddings to model word similarity and entailment . 2. The proposed approach is based on the idea of using word embeddings to model word similarity and entailment . 3. The proposed approach is based on the idea of using word embeddings to model word
RoPE,qasper,9,5178,0,0.06060606060606061,"[""simply averaging the predictions from the constituent single models""]", The ensemble method is based on the idea that the model is able to answer questions about the context document by looking at the context document itself . The model is also able to answer questions about the question itself by looking at the question itself . 1 + 1 = 2 is a question about the context document and the
RoPE,qasper,10,4449,0,0.14814814814814814,"[""Friends TV sitcom, Facebook messenger chats""]"," The EmotionLines dataset is collected from the social media platform Facebook . The Friends dataset is collected from the sitcom Friends TV series . The EmotionPush dataset is collected from the social media platform Twitter . 1 @,@ 000 dialogues are used for training and 240 dialogues are used for testing . 3"
RoPE,qasper,11,3110,1,0.038461538461538464,"[""English"", ""Simple English""]"," English , but it can be easily extended to other languages . 1 ) English is used for the experiments in this paper , but it can be easily extended to other languages . 2 ) The paper focuses on English , but it can be easily extended to other languages . 3 ) The paper focuses on English , but"
RoPE,qasper,12,3225,1,0.1923076923076923,"[""IMDb dataset of movie reviews"", ""IMDb""]"," The IMDb dataset of movie reviews by BIBREF11 . 25 @,@ 000 sentences with half being positive sentiments and the other half being negative sentiments . 9 main labels and 2 context tags . 9 main labels are positive and negative sentiment , 2 context tags are positive and negative sentiment , 2"
RoPE,qasper,13,8192,0,0.41935483870967744,"[""F1 scores of 85.99 on the DL-PS data,  75.15 on the EC-MT data and 71.53 on the EC-UQ data "", ""F1 of 85.99 on the DL-PS dataset (dialog domain); 75.15 on EC-MT and 71.53 on EC-UQ (e-commerce domain)""]"," The results of the experiments show that the proposed system outperforms strong baselines in terms of F1 scores . 1 ) The baseline CRF model performs well on DL-PS , but performs poorly on EC-MT and EC-UQ . 2 ) The baseline LSTM-CRF model performs well on DL-"
RoPE,qasper,14,4582,0,0.0,"[""No""]"," Yes , we have published a paper on the results of the experiments . 1.0 BIBREF1 2.0 BIBREF2 3.0 BIBREF3 4.0 BIBREF4 5.0 BIBREF5 6.0 BIBREF6 7"
RoPE,qasper,15,8192,0,0.055555555555555566,"[""Custom dataset with user questions; set of documents, twitter posts and news articles, all related to finance."", ""a self-collected financial intents dataset in Portuguese""]", The datasets used for the experiments are described in the paper . 1NN is used to train the classifier and the SVM is used to test it . 1NN is used to train the classifier and the SVM is used to test it . 1NN is used to train the classifier and the SVM is used to test
RoPE,qasper,16,8192,1,0.046511627906976744,"[""Energy with accuracy of 0.538"", ""Energy""]"," The best performance was achieved by the HealthCare and Energy sectors . 1 @.@ 5 million samples were used for training and 1 @,@ 000 samples were used for validation . 1 @,@ 000 samples were used for testing . 1 @,@ 000 samples were used for testing . 1"
RoPE,qasper,17,4997,0,0.15384615384615383,"[""RNN-based NMT model, Transformer-NMT""]", 1) RNN-based NMT model 2) Transformer @-@ based NMT model 3) SMT model 4) NMT models trained on unaugmented data 5) NMT models trained on augmented data 6) NMT models trained on only unaugmented data 7)
RoPE,qasper,18,4958,0,0.6666666666666666,"[""a regularization term associated with neutral features, the maximum entropy of class distribution regularization term, the KL divergence between reference and predicted class distribution"", ""a regularization term associated with neutral features,  the maximum entropy of class distribution, KL divergence between reference and predicted class distribution""]"," 1) a regularization term associated with neutral features ; 2) the maximum entropy of class distribution regularization term ; 3) the KL divergence between reference and predicted class distribution . 2) is the maximum entropy term , which is the most important term . 3) is the KL divergence term , which is the"
RoPE,qasper,19,5803,0,0.4657534246575343,"[""SVM with unigram, bigram, and trigram features, SVM with average word embedding, SVM with average transformed word embeddings, CNN, ecurrent Convolutional Neural Networks, SVM and deep learning models with comment information"", ""SVM with unigram, bigram, trigram features, with average word embedding, with average transformed word embeddings, CNN and RCNN, SVM, CNN, RCNN with comment information""]"," 1) SVM with unigram , bigram , and trigram features , which is a standard yet rather strong classifier for text features ; 2) SVM with average word embedding , where a document is represented as a continuous representation by averaging the embeddings of the composite words ; 3) SVM with average transformed word embeddings"
RoPE,qasper,20,3552,0,0.0,"[""They decrease MAE in 0.34""]", 1 @.@ 5 – 2 @.@ 5 points ( 1 @.@ 5 – 2 @.@ 5 points ) 1 @.@ 5 – 2 @.@ 5 points ( 1 @.@ 5 – 2 @.@ 5 points ) 1 @.@
RoPE,qasper,21,7670,0,0.10344827586206898,"[""the attention heads in the proposed adaptively sparse Transformer can specialize more and with higher confidence"", ""We introduce sparse attention into the Transformer architecture""]"," 1.5 @-@ entmax is able to capture the fact that attention is not a global function , but rather a local function . 2.5 @-@ entmax is able to capture the fact that attention is not a global function , but rather a local function . 1 @-@ ent"
RoPE,qasper,22,5005,0,0.07142857142857142,"["" MT system on the data released by BIBREF11"", ""Transformer base, two-pass CADec model""]", the baseline is the model trained on 6m instances . 6m instances are sentence pairs with a relative time overlap of subtitle frames between source and target language subtitles of at least 0 @.@ 9 . 6m instances are split into 500 groups of 4 consecutive sentences . 500 groups are used
RoPE,qasper,23,5191,0,0.0,"[""translation probabilities, Labeled Attachment Scores (LAS)"", ""accuracy, Labeled Attachment Scores (LAS)""]", 1) XNLI : 1) BLEU @-@ 2 : 2) METEOR @-@ 3 : 3) ROUGE @-@ 4 : 4) METEOR @-@ 5 : 5) METEOR @-@ 6
RoPE,qasper,24,7375,0,0.2153846153846154,"[""the model is pre-trained on CTC-based ASR task and MT task in the pre-training stage.""]", The attention module is pretrained on the MT model . 1) The attention module is pretrained on the MT model . 2) The attention module is pretrained on the MT model . 3) The attention module is pretrained on the MT model . 4) The attention module is pretrained on the MT model . 5
RoPE,qasper,25,4776,0,0.0,"[""Unanswerable""]", 1. The stylistic features are extracted from the text and the reader 's eye @-@ movement patterns . 2. The stylistic features are extracted from the text and the reader 's eye @-@ movement patterns . 3. The stylistic features are extracted from the text and the reader '
RoPE,qasper,26,2987,1,0.03508771929824561,"[""LSTM"", ""LSTM""]", The encoder is a bidirectional LSTM with 100 hidden units . 100 is chosen because it is the number of hidden units in the previous layer of the LSTM . 100 is also the number of hidden units in the final layer of the LSTM . 100 is also the number of hidden units in the final layer of
RoPE,qasper,27,8192,1,0.047619047619047616,"[""Unanswerable"", ""Yes""]"," Yes , but only for certain tasks . 1 @-@ hop reasoning is not sufficient for reasoning about hyponyms , and 2 @-@ hop reasoning is not sufficient for reasoning about definitions . 3 @-@ hop reasoning is sufficient for reasoning about definitions , but not for hyponyms . 4"
RoPE,qasper,28,2668,0,0.0,"[""Unanswerable"", ""LF-MMI Attention\nSeq2Seq \nRNN-T \nChar E2E LF-MMI \nPhone E2E LF-MMI \nCTC + Gram-CTC""]"," 1D convolutional models ( <unk> ) , 2D convolutional models ( <unk> ) , 3D convolutional models ( <unk> ) , 4D convolutional models ( <unk> ) , 5D convolutional models ( <unk> ) , 6D convolution"
RoPE,qasper,29,5188,0,0.0,"[""22,880 users"", ""20,000""]"," 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 , 21 , "
YaRN_x2,passage_retrieval_en,0,8192,0,0.0,"[""Paragraph 15""]", 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 
YaRN_x2,passage_retrieval_en,1,8192,0,0.058823529411764705,"[""Paragraph 8""]", 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
YaRN_x2,passage_retrieval_en,2,8192,0,0.0,"[""Paragraph 18""]", 1 : 00 : 00 2 : 00 : 00 3 : 00 : 00 4 : 00 : 00 5 : 00 : 00 6 : 00 : 00 7 : 00 : 00 8 : 00 : 00
YaRN_x2,passage_retrieval_en,3,8192,0,0.0,"[""Paragraph 17""]", 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 
YaRN_x2,passage_retrieval_en,4,8192,0,0.08695652173913042,"[""Paragraph 14""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
YaRN_x2,passage_retrieval_en,5,8192,0,0.0,"[""Paragraph 3""]", 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 
YaRN_x2,passage_retrieval_en,6,8192,0,0.0,"[""Paragraph 24""]", 1 : 1 – 2 2 : 1 – 2 3 : 1 – 2 4 : 1 – 2 5 : 1 – 2 6 : 1 – 2 7 : 1 – 2 8 : 1 – 2
YaRN_x2,passage_retrieval_en,7,8192,0,0.0,"[""Paragraph 27""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
YaRN_x2,passage_retrieval_en,8,8192,0,0.0,"[""Paragraph 30""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
YaRN_x2,passage_retrieval_en,9,8192,0,0.08695652173913042,"[""Paragraph 12""]", 1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 
YaRN_x2,passage_retrieval_en,10,8192,0,0.0,"[""Paragraph 22""]", 1 : 30 : 00 2 : 30 : 00 3 : 30 : 00 4 : 30 : 00 5 : 30 : 00 6 : 30 : 00 7 : 30 : 00 8 : 30 : 00
YaRN_x2,passage_retrieval_en,11,8192,0,0.0,"[""Paragraph 30""]", 1st Squadron was formed on 17 January 1918 and the 2nd Squadron on 1 May 1918 . 1st Squadron was based at the Royal Flying Corps School of Ballooning at Aldershot and the 2nd Squadron at the Royal Flying Corps School of Kiting at F
YaRN_x2,passage_retrieval_en,12,8192,0,0.0,"[""Paragraph 24""]", 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 
YaRN_x2,passage_retrieval_en,13,8192,0,0.07407407407407407,"[""Paragraph 19""]", 1 – 2 3 – 4 5 – 6 7 – 8 9 – 10 11 – 12 13 – 14 15 – 16 17 – 18 19 – 20 21 – 22 23 – 24 25 – 
YaRN_x2,passage_retrieval_en,14,8192,0,0.08695652173913042,"[""Paragraph 3""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
YaRN_x2,passage_retrieval_en,15,8192,0,0.0,"[""Paragraph 8""]"," 1st Battalion , 1st Armoured Division , 1st Armoured Brigade , 1st Armoured Division , 1st Armoured Brigade , 1st Armoured Division , 1st Armoured Brigade , 1st Armoured Division , 1st Armoured Brigade , 1st"
YaRN_x2,passage_retrieval_en,16,8192,0,0.07407407407407407,"[""Paragraph 3""]", 1 : 30 2 : 00 3 : 00 4 : 00 5 : 00 6 : 00 7 : 00 8 : 00 9 : 00 10 : 00 11 : 00 12 : 00 13 : 
YaRN_x2,passage_retrieval_en,17,8192,0,0.0,"[""Paragraph 17""]", 1st verse 1st line 1st verse 2nd line 2nd verse 2nd line 3rd verse 3rd line 4th verse 4th line 5th verse 5th line 6th verse 6th line 7th verse 7th line
YaRN_x2,passage_retrieval_en,18,8192,0,0.08695652173913042,"[""Paragraph 4""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
YaRN_x2,passage_retrieval_en,19,8192,0,0.0,"[""Paragraph 3""]", 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 
YaRN_x2,passage_retrieval_en,20,8192,0,0.0,"[""Paragraph 24""]", 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 
YaRN_x2,passage_retrieval_en,21,8192,0,0.0,"[""Paragraph 2""]", 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 
YaRN_x2,passage_retrieval_en,22,8192,0,0.0,"[""Paragraph 6""]"," 1 @,@ 800 Canadians were killed in the Congo , and 12 were beaten to death by Congolese forces . 1 @,@ 800 Canadians were killed in the Congo , and 12 were beaten to death by Congolese forces . 1 @,@ 800 Canadians were killed in the Congo"
YaRN_x2,passage_retrieval_en,23,8192,0,0.08695652173913042,"[""Paragraph 12""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
YaRN_x2,passage_retrieval_en,24,8192,0,0.0,"[""Paragraph 24""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
YaRN_x2,passage_retrieval_en,25,8192,0,0.0,"[""Paragraph 30""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
YaRN_x2,passage_retrieval_en,26,8192,0,0.08695652173913042,"[""Paragraph 1""]", 1 – 2 – 3 – 4 – 5 – 6 – 7 – 8 – 9 – 10 – 11 – 12 – 13 – 14 – 15 – 16 – 17 – 18 – 19 – 20 – 21 – 
YaRN_x2,passage_retrieval_en,27,8192,0,0.08695652173913042,"[""Paragraph 6""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
YaRN_x2,passage_retrieval_en,28,8192,0,0.0,"[""Paragraph 8""]", 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 1 : 
YaRN_x2,passage_retrieval_en,29,8192,0,0.08695652173913042,"[""Paragraph 3""]", 1 . 2 . 3 . 4 . 5 . 6 . 7 . 8 . 9 . 10 . 11 . 12 . 13 . 14 . 15 . 16 . 17 . 18 . 19 . 20 . 21 . 
YaRN_x2,qasper,0,3855,0,0.1875,"[""Ground truth is not established in the paper""]", 1 . The ground truth is established by a single person in order to obtain a consistent annotation throughout the dataset . 2 . The ground truth is established by a single person in order to obtain a consistent annotation throughout the dataset . 3 . The ground truth is established by a single person in order to obtain a consistent
YaRN_x2,qasper,1,3187,0,0.09230769230769231,"[""extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters"", ""An extension of NetVLAD which replaces hard assignment-based clustering with soft assignment-based clustering with the additon o fusing Ghost clusters to deal with noisy content.""]", The GhostVLAD is a pooling strategy that was originally proposed for face recognition . It is a pooling strategy that takes the output of a ResNet model and aggregates the features into a single vector . The ResNet model takes the input as a spectrogram and maps it into a 3D feature map . The 3
YaRN_x2,qasper,2,4217,0,0.10526315789473685,"[""the attention model, MDREA, also outperforms the best existing research results (WAP 0.690 to 0.688)""]", 0 @.@ 71 to 0 @.@ 72 ( WAP ) 0 @.@ 75 to 0 @.@ 78 ( WAP ) 0 @.@ 71 to 0 @.@ 72 ( WAP ) 0 @.@ 75 to 0 @.@ 78
YaRN_x2,qasper,3,2833,0,0.04761904761904761,"[""using tweets that one has replied or quoted to as contextual information"", ""text sequences of context tweets""]"," 1. Character-level features (i.e. POS tags , n-grams , etc . ) 2. Sentiment analysis (i.e. sentiment polarity , sentiment subjectivity , sentiment lexicon ) 3. User information (i.e. user ID , user location , user language , etc . ) 4"
YaRN_x2,qasper,4,4295,0,0.029411764705882353,"[""FoxNews, CNN, ESPN, New York Times, Time magazine, Huffington Post Weird News, The Guardian, Cartoon Network, Cooking Light, Home Cooking Adventure, Justin Bieber, Nickelodeon, Spongebob, Disney"", ""FoxNews, CNN, ESPN, New York Times, Time magazine, Huffington Post Weird News, The Guardian, Cartoon Network, Cooking Light, Home Cooking Adventure, Justin Bieber, Nickelodeon, Spongebob, Disney.""]"," 1 . 000 pages from 10 different news websites , including 300 pages from 10 different political parties . 2 . 000 pages from 10 different news websites , including 300 pages from 10 different political parties . 3 . 000 pages from 10 different news websites , including 300"
YaRN_x2,qasper,5,5229,1,0.04347826086956522,"[""Yes"", ""Yes""]"," Yes , the datasets contain only English data . 1 @.@ 1 billion tweets were collected from the Twitter API and the Stanford Sentiment Analysis Dataset was used to train the BiLSTM model . 12 @,@ 000 tweets were used for training and the rest for development . 40 @,@ 000 tweets"
YaRN_x2,qasper,6,5491,0,0.0,"[""Answer with content missing: (Evaluation Metrics section) Precision, Recall, F1-scores, Strict match, METEOR, ROUGE-2""]"," The task is evaluated using the same measures as in the TAC 2008A task . 1 ) the average agreement between the annotator and the annotator of the most important propositions , 2 ) the average agreement between the annotator and the annotator of the most important relations , 3 ) the average"
